Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0961662823726544,-1.03511339144766E-09,-0.162578216580196,0,0,0,1.95101772172978,0.01135010914744,-2.37260398840067E-20,3.30872245021212E-21,0.00280342430526838,1.7015224178527E-10,0.0100305247149172,0,0,0,0,0,0,package://cowa_robot_full/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/base_link.STL,,leg_motor-11;body_waist_part2-1,base_link_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_leg_roll_link,8.10983225019157E-17,2.91433543964104E-16,0.0800000000000171,0,0,0,0.785398163397448,0.00114537232162128,-3.38813178901722E-21,6.17832001615349E-20,0.00114537232162128,-5.68535232822628E-19,0.000981747704246811,0,0,0,0,0,0,package://cowa_robot_full/meshes/left_leg_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/left_leg_roll_link.STL,,leg_motor-3,left_leg_roll_frame,left_leg_roll_axis,left_leg_roll_joint,revolute,-0.0550000000000836,0.12,-0.190000000000201,-1.57079632679489,1.55205562358607,1.5707963267949,base_link,0,0,-1,100,3.14,-2.5,0.12,,,,,,,,
left_leg_yaw_link,1.38777878078145E-17,-1.38777878078145E-17,-2.60208521396521E-18,0,0,0,0.785398163397448,0.00114537232162128,-3.08148791101958E-33,-1.27753435684693E-19,0.00114537232162128,-1.86347248396235E-20,0.000981747704246811,0,0,0,0,0,0,package://cowa_robot_full/meshes/left_leg_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/left_leg_yaw_link.STL,,leg_motor-2,left_leg_yaw_frame,left_leg_yaw_axis,left_leg_yaw_joint,revolute,0,0,-0.05,0,1.5707963267949,0,left_leg_roll_link,0,0,1,100,3.14,-0.5,0.5,,,,,,,,
left_leg_pitch_link,0.202,-2.77555756156289E-17,1.38777878078145E-17,0,0,0,7.272,0.0256944,8.09891448126531E-18,1.70761842166486E-18,0.104968896,3.72814870162106E-18,0.118543296,0,0,0,0,0,0,package://cowa_robot_full/meshes/left_leg_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/left_leg_pitch_link.STL,,leg1-1,left_leg_pitch_frame,left_leg_pitch_axis,left_leg_pitch_joint,revolute,0.02,0,0.0499999999999999,1.57079632679486,-1.5707963267949,0,left_leg_yaw_link,0,0,1,250,2,-2,0,,,,,,,,
left_knee_link,0.194425,5.55111512312578E-17,1.38777878078145E-16,0,0,0,4.66620000000001,0.00948794000000002,2.10499409051139E-18,-9.21571846612575E-19,0.0643952408041251,-1.49954083444376E-19,0.0626843008041251,0,0,0,0,0,0,package://cowa_robot_full/meshes/left_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/left_knee_link.STL,,leg2-1,left_leg_knee_frame,left_leg_knee_axis,left_knee_joint,revolute,0.404,0,0,0,0,0,left_leg_pitch_link,0,0,1,250,1.8,0,1.8,,,,,,,,
left_ankle_pitch_link,0,1.11022302462516E-16,0,0,0,0,0.785398163397448,0.00114537232162128,2.16667118743564E-34,1.27436410433356E-18,0.00114537232162128,-3.38813178901708E-20,0.000981747704246811,0,0,0,0,0,0,package://cowa_robot_full/meshes/left_ankle_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/left_ankle_pitch_link.STL,,leg_motor-5,left_ankle_pitch_frame,left_ankle_pitch_axis,left_ankle_pitch_joint,revolute,0.38885,0,0,0,0,-1.5707963267949,left_knee_link,0,0,1,75,1.57,-0.6,0.6,,,,,,,,
left_ankle_roll_link,-0.13582826829526,0.615917839552199,-0.0217466404096759,0,0,0,81.1586182215706,17.9876414438936,-0.00171822077039046,-0.000102963942902628,1.58215961266194,0.499815367716584,18.9548823124565,0,0,0,0,0,0,package://cowa_robot_full/meshes/left_ankle_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/left_ankle_roll_link.STL,,left_ankle_roll_link2-2,left_ankle_roll_frame,left_ankle_roll_axis,left_ankle_roll_joint,revolute,0,0,0,1.5707963267947,-1.55205562358606,1.5707963267951,left_ankle_pitch_link,0,0,-1,75,1.2,-0.08,0.08,,,,,,,,
right_leg_roll_link,8.32667268468867E-17,1.67973274178834E-14,-0.0800000000000161,0,0,0,0.785398163397448,0.00114537232162128,1.29570692586774E-34,-1.12751872729269E-20,0.00114537232162128,7.31306449924159E-20,0.000981747704246811,0,0,0,0,0,0,package://cowa_robot_full/meshes/right_leg_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/right_leg_roll_link.STL,,leg_motor-8,right_leg_roll_frame,right_leg_roll_axis,right_leg_roll_joint,revolute,-0.0550000000000846,-0.120000000000001,-0.190000000000218,1.5707963267949,0.0187407032088365,1.57079632679489,base_link,0,0,1,100,3.14,-2.5,0.12,,,,,,,,
right_leg_yaw_link,1.01307850997046E-15,-8.32667268468867E-17,-1.68584764204116E-14,0,0,0,0.785398163397449,0.00114537232162128,-3.85185988877447E-34,-2.72338675958684E-20,0.00114537232162128,-5.08219768352577E-20,0.000981747704246812,0,0,0,0,0,0,package://cowa_robot_full/meshes/right_leg_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/right_leg_yaw_link.STL,,leg_motor-7,right_leg_yaw_frame,right_leg_yaw_axis,right_leg_yaw_joint,revolute,0,0,0.05,1.5707963267949,-1.5707963267949,0,right_leg_roll_link,0,0,-1,100,3.14,-0.5,0.5,,,,,,,,
right_leg_pitch_link,0.202,-4.16333634234434E-17,1.38777878078145E-16,0,0,0,7.272,0.0256944,1.0466895491229E-17,-1.35525271560883E-19,0.104968896,-3.79132297934321E-18,0.118543296,0,0,0,0,0,0,package://cowa_robot_full/meshes/right_leg_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/right_leg_pitch_link.STL,,leg1-2,right_leg_pitch_frame,right_leg_pitch_axis,right_leg_pitch_joint,revolute,0.020000000000001,0,0.0499999999999831,1.5707963267949,-1.5707963267949,0,right_leg_yaw_link,0,0,1,250,2,-2,0.23,,,,,,,,
right_knee_link,0.194425,0,0,0,0,0,4.66620000000001,0.00948794000000002,2.15709647895859E-18,-3.04931861011558E-18,0.0643952408041251,7.54917397399606E-19,0.0626843008041252,0,0,0,0,0,0,package://cowa_robot_full/meshes/right_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/right_knee_link.STL,,leg2-2,right_leg_knee_frame,right_leg_knee_axis,right_knee_joint,revolute,0.404,0,0,0,0,0,right_leg_pitch_link,0,0,-1,250,1.8,0,1.8,,,,,,,,
right_ankle_pitch_link,0,1.11022302462516E-16,-2.77555756156289E-17,0,0,0,0.785398163397448,0.00114537232162128,-4.57408361791969E-34,-4.70881875214034E-20,0.00114537232162128,4.74338450462405E-20,0.000981747704246812,0,0,0,0,0,0,package://cowa_robot_full/meshes/right_ankle_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/right_ankle_pitch_link.STL,,leg_motor-9,right_ankle_pitch_frame,right_ankle_pitch_axis,right_ankle_pitch_joint,revolute,0.38885,0,0,0,0,-1.5707963267949,right_knee_link,0,0,1,75,1.57,-0.6,0.6,,,,,,,,
right_ankle_roll_link,0.124195188245672,0.618353792538422,-0.0217466404096768,0,0,0,81.1586182215706,17.981944670474,0.305661269851752,-0.00946928904029286,1.58785638608156,0.499725669715216,18.9548823124565,0,0,0,0,0,0,package://cowa_robot_full/meshes/right_ankle_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/right_ankle_roll_link.STL,,left_ankle_roll_link2-1,right_ankle_roll_frame,Axis_right_ankle_roll_joint,right_ankle_roll_joint,revolute,0,0,0,0,-1.5707963267949,0,right_ankle_pitch_link,0,1,0,75,1.2,-0.1,0.1,,,,,,,,
waist_roll_link,-5.21749658225568E-18,0.0462359125620831,0.0557602377144009,0,0,0,1.45091624562609,0.00347100897105793,1.46890481882582E-19,4.24915818801581E-19,0.00242779563121848,6.87846878940631E-06,0.0035325148133869,0,0,0,0,0,0,package://cowa_robot_full/meshes/waist_roll_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/waist_roll_link.STL,,body_waist_part1-1,body_roll_frame,body_roll_axis,body_roll_joint,revolute,-0.055,0,-0.140000000000201,1.5707963267949,0,1.5707963267949,base_link,0,0,-1,0,0,0,0,,,,,,,,
body_link,0,6.22146659554043E-18,0.145633802816901,0,0,0,10.792,0.122300931455399,-6.27548739887208E-18,-2.56509389534329E-35,0.105155931455399,4.17705297827066E-18,0.0676704666666667,0,0,0,0,0,0,package://cowa_robot_full/meshes/body_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_full/meshes/body_link.STL,,body_main-1,body_yaw_frame,body_yaw_axis,body_yaw_joint,revolute,0,0.140000000000201,0.055,1.5707963267949,-1.5707963267949,0,waist_roll_link,0,0,1,0,0,0,0,,,,,,,,
